parent_asin,parent_asin_name,creator_favorite,link,category,subcategory,brand,avg_rating,related_asins
B0050D3VG2,"Tata Tea Gold 250 gram, Assam Teas With Gently Rolled Aromatic Long Leaves, Rich & Aromatic Chai, Black Tea, Loose Leaves",N,https://www.amazon.in/dp/B0050D3VG2,Grocery,Tea Leaf/Powder,Tata Tea,4.5,B0050D3VG2
B00935MD7G,Prestige PRWO 2.8-2 Electric Rice Cooker 2.8L with Close Fit Lid|White|Raw capacity-1.7 liters|Cooked capacity-2.8 liters|Cooks for a large family,N,https://www.amazon.in/dp/B00935MD7G,Kitchen,Rice Cookers,Prestige,3.8,B00935MD7G
B01M07FFE7,Crocs Unisex Adult Classic FFn Croslite Clog | 10001-6SV |,N,https://www.amazon.in/dp/B01M07FFE7,"Shoes,Jewelry,Luggage","Casual, Flip-Flops & Slippers, Sandals & Floaters, Fashion Sandals",Crocs,4.2,"B0B4SBSJVP,B09773Q1VX,B0F3JH22R5,B0819S4K3H,B09H9DZ3TF,B0819QZNMD,B098LWJFDL,B0CW3MZSLG,B0CS3NGL68,B096KQDYQW,B08LK1H5VC,B09H9CYKHK,B09774189G,B0DR3PD6ZN,B0CQRD3WY2,B08LJYKHVS,B09773VBQK,B081B895KZ,B07TLNK669,B09GRHYCFF,B08CNZN9L4,B0BQC2C3Q8,B0F3JK5NC3,B0F3JKDFXB,B09773HGJG,B0D6YXYQQY,B0F2WB2BSV,B08LKB3HNZ,B0DND4Q7RL,B077G7YMMN,B0CQRC8M9V,B0C5JYD6K2,B08LK1H5XG,B0CW5Z8D19,B096KT7LZN,B096ZNSCK8,B00HB55N3G,B096ZQLZC8,B0F3JM74R9,B0B4SF5YQ3,B0BQC1W1MT,B0F3JLJP75,B07C9V6WRF,B07HJYGCD4,B00292JQ52,B096KSY138,B0CVLJ1T54,B01EY0MXRY,B0BQC1D1X3,B081B7HQ9W,B0CVLHWBSX,B0D61GK9BN,B07HJWSLJM,B0C5JZ15MR,B0819RLBRZ,B0819QZNMW,B0DG1361FX,B0BQC52DTW,B09773TW7Z,B096KRF7Z7,B0F3JH4XGP,B081B7SGQ9,B0D61DHTWC,B0CQ2ZMYVG,B00HDBHVPQ,B097732487,B0BQC1LX68,B0BQBZQKCH,B0BQC35GJ3,B0BQC2T5ZB,B0F3JLZVTR,B0F3JKMQRB,B08C138RWT,B096ZSDSS7,B0BQC2Z4VF,B07WZLXJ46,B08LK67NFS,B0F3JLM31T,B0C5K1M7XT,B0CVLJ635J,B0CQRCV5CL,B0F3JLQS67,B08CD6GLWT,B09773Y2WY,B007ZI7QOS,B09H9TZZBM,B0F3JLSWLY,B0CWF3KY51,B0BQC26L6F,B09GRCSP45,B0BQC1B5RT,B098LXRD74,B0BQC171YY,B0819RG8QZ,B0BQC11TZ9,B077G9T67H,B08C15344F,B0F3JKRMY7,B0BQC2S9WQ,B005HV2PZU,B0D61LFWZP,B0C7K2CZ56,B08LK7PP65,B07HJT3RM1,B0819QZNMX,B07BVGXX4R,B0F2TC96HR,B08LK67716,B0D2NWM2K8,B0CVLHJTFY,B09NMB9C1Q,B08C14JZB3,B09774SWGZ,B0F2TB5FP3,B08C14LY8K,B0B4SFMTM4,B0971QG2FL,B077G711L3,B077G7YCPZ,B07HKBQ43J,B098LYHNCL,B0CN36BM58,B0CW3NJBYK,B0D61P6MFD,B0F3JP9QL7,B008JAQHLY,B098LY4V6F,B098LYCPW3,B077G8MQ6K,B09H9L91Z4,B07L9BW3GV,B001Y8YN7S,B098LYZY4M,B0BQC1ZH4G,B07CKBL5F8,B0D613BTMK,B07X2QFC45,B09774ZPLP,B09643GKCZ,B0F3JK4261,B0BQBZG6KX,B01J1LPP6C,B0F3JHXNTS,B07BVDHT8Q,B0BQC1HYZ8,B077GBW5Y3,B096KQ81LH,B09H9HB6T1,B0F3JL19LX,B09NMCLJSG,B0DK8X4JFT,B07BVGKPS9,B08C15T11P,B007ZI7V6G,B07BV5VGX6,B07HFPK5Q2,B0819RLBFN,B077G7PHPL,B0F3JJXD12,B07N99N93J,B07TLNJWQ8,B0F3JLPQQ8,B09H44QLYF,B096442JW6,B008KYX7U8,B098LZJ5V7,B0B4SCZ356,B00LUMKLR4,B07BV5BVJG,B0819YCQYR,B09773SQJW,B0BQC5F8PX,B0F94FRS9J,B082WCT189,B077GBG5H9,B0DG196Q3H,B08J6MLXDG,B07X1QNVRR,B0F3JGWQ1C,B0C5K16V1V,B0CJXRMZ8F,B07C9VBGNW,B08LKBQKC7,B0D61LXVYR,B0BQC224K4,B098M1248S,B0DFZP13HH,B0819RXCZG,B0819RTVBL,B007ZI7UOO,B0D61NY59B,B0F3JFWK8M,B081B8H28R,B0DBN8727R,B0D2NXDQ67,B08CNY2BKT,B08F7HD11C,B0F3JL4DD1,B0819RBPWN,B0819YL9LH,B0819RF3FJ,B07BVDSHX7,B0CT2C9Q37,B001V7Z27W,B0CNHY62TH,B08L54Y8PK,B0CS3RD9TH,B0887LF3XB,B0819RFLH7,B0CVLJT9QP,B008JAQFZW,B0F3JK9CDN,B07HFSHNBG,B0819S96FS,B0F3JM26Y7,B09H9P3T8W,B096ZRCJPZ,B0BQC2PLSP,B0C5K141SM,B0BFVW898G,B0BQC27XJP,B097747523,B08LXKF7ZR,B0DG13JCCN,B0C5K21NXR,B08LKCZ2CN,B09NMB5152,B07L9B69P5,B0819Z493J,B07HFRMKB7,B0CRVQMYZY,B0F3JL7Z58,B08C15B137,B088YP911X,B001V7UZJM,B07BV7C7Y4,B0CQRBPCMQ,B0CT3PMRSC,B074YKL6BH,B096ZQK7SZ,B0D613M7MK,B008KZFFVG,B0819RF32D,B09GRFZ82S,B07X4XZL33,B096ZQNTVH,B0C5JX6DB2,B0D6YV5XDY,B08F77C2KR,B0BQC361K1,B0D61ND8FL,B077G8L5LK,B0DF7YD7CC,B0CW5YM7SM,B081B7HQ9V,B0C744VH4P,B0C5K1Q5LJ,B01M07FFE7,B0BSG9LPL1,B0DTXF24R9,B00HDBI0AQ,B09NMCYDN9,B08LK12861,B08C15F7SM,B0CVLHCCKV,B07BV3RLFW,B0C5K19V68,B08LJYHRLH,B07BVGHXJJ,B0D61KKCDT,B0CS3NV77L,B0DG15G5JT,B0BQC2P8CV,B0DTXBW6TD,B096ZPWXR7,B096ZPRC6R,B077XW55YP,B0CW3MXM5M,B08F7BD1SB,B0819RJ1DS,B0F98Q1B9W,B096ZT66R1,B0C5K116FL,B08C145BPY,B0D2NVJ7DT,B07L9B8JB8,B097747TSF,B0DTX5X4HL,B08LJR88RQ,B0D2NVJ3CZ,B0F3JGVVYL,B0BQC4TYMC,B07CL7HXD5,B0BQC21MS5,B0CVLHXZW5,B0DTXC46P9,B09774FH5N,B0CS3NRD1F,B008JAQHN2,B08C1469SS,B07TVPL673,B09NMCP3ZG,B09NM9YNPH,B0C9LF64SR,B07K8XNCV6,B0028RHKA6,B00HB55N6S,B0C5JZK29D,B0B4SG5M89,B0971Q89WC,B0C5JYT5PF,B09642QFVQ,B07HJVHHKY,B08C13WL3J,B0971Q9QBC,B0D2NWGN6N,B0CXXL41Q4,B0D61DKZLT,B0D2NSBJN9,B07HJVM5F3,B07HFSSK2Z,B0F2TGS1YJ,B0DR3Q4FHG,B0BQC26L74,B005LVR13M,B0CT3S4GSS,B077G8RCXW,B097752B15,B07TQW6BGH,B00292NGBC,B09NMCFG3P,B0DF7XSXZT,B07TMR25TZ,B09773DC9R,B0D6YVVS99,B0BQC3B67N,B0CNHVVKD7,B09773F8R4,B0CT5W3MZ8,B0CCWVV2D8,B0819RQ1YS,B09H9TNSS7,B07HFRG1KV,B0D61M8X6M,B0F2TCLRG2,B0D6YWDKQ5,B0CW3L4PDD,B09H43LRL2,B07X3TTGHH"
B071Y34HVV,"Catch Cumin Whole | Jeera Whole, 200g",Y,https://www.amazon.in/dp/B071Y34HVV,Grocery,Herbs and Spices,catch,4.5,B071Y34HVV
B08HCW7KCV,"SWASH Direct Thermal Shipping 400 Labels Printer Sticker Roll (White, 4""x 6"")",N,https://www.amazon.in/dp/B08HCW7KCV,Office Product,"Labels, Labeling Tapes, Indexes &Stamps",SWASH,4.0,"B08HCR98BL,B08XJRL7FB,B08HCW7KCV,B08HCY3FGB,B08HK5Y6JJ,B08HCBVTZ1"
B08QMFXYL6,"AGARO HC6001 Hair Curler with 25MM Barrel, Rod, Tong, Tourmaline Infused Ceramic Coated Plates, Cool Touch Tip, Fast Heating, for Women, Long and Short Hair Curling, Styling, Black & Rose Gold",N,https://www.amazon.in/dp/B08QMFXYL6,Personal Care Appliances,Curling Irons,AGARO,4.2,B08QMFXYL6
B08SJC7F92,Aurion by 10Club Durable Body Weighted Vest,N,https://www.amazon.in/dp/B08SJC7F92,Sports,Weight Accessories,AURION,4.0,"B01N9LPPD2,B08SHQJFTM,B08SJBDKCR,B08SJC7F92"
B09DYHCV2L,"SUGAR Cosmetics Stroke Of Genius Heavy-Duty Kohl with Sharpner | Long Lasting, Smudge Proof & Waterproof Kajal Pencil | Matte Finish | 1.2gm - 01 Back To Black (Black)",N,https://www.amazon.in/dp/B09DYHCV2L,Beauty,Eyes,SUGAR Cosmetics,4.3,B09DYHCV2L
B09M2LDCXF,"SHINESTAR Dual Fuel Portable Gas Stove for Propane & Butane, Camping Stove with Single Burner, Propane Adapter Hose and Carrying Case Included, 7800BTUs, Aluminium",N,https://www.amazon.in/dp/B09M2LDCXF,Kitchen,,SHINESTAR,3.4,B09M2LDCXF
B09X17DX7X,BIBA Women Cotton Anarkali Kurta Palazzo Suit Set,N,https://www.amazon.in/dp/B09X17DX7X,Apparel,Womens Salwar Suits,BIBA,4.0,"B09C6KQ7X1,B09C6KPX2W,B09X17DX7X,B09C6MHWQQ,B09C6N6F4J"
